name,indent_err,comment_curlybracket_err,comment_linebreaker_err,comment_magicnumber_err,comment_head_err,comment_macro_err,comment_func_err,comment_tag_param_err,comment_tag_return_err,commenting,formating
bcajax,0,0,0,0,0,0,0,0,1,1,0
febautis,0,1,0,1,0,0,2,0,0,2,2
nzbennet,0,0,0,0,0,0,0,0,0,0,0
grbish,0,0,0,1,0,0,0,0,0,0,1
hwblake,0,1,0,1,0,0,0,0,0,0,2
smbondre,0,0,0,0,0,1,0,1,0,2,0
ztboulto,0,0,0,0,0,0,0,0,0,0,0
zbridge,0,0,0,1,0,0,0,0,1,1,1
jbuhr,0,0,0,1,0,0,0,0,0,0,1
dwburg,0,1,0,1,0,0,0,1,0,1,2
dcbusse,0,0,0,0,0,0,0,2,3,5,0
xce,0,0,0,1,0,0,0,2,0,2,1
amchan,0,0,0,0,0,0,0,0,5,5,0
akclark4,0,0,0,0,0,0,0,0,0,0,0
jrcoblei,0,0,0,1,0,0,0,1,1,2,1
clcoffel,0,0,0,0,0,0,0,0,0,0,0
cfcole,0,0,0,0,0,0,0,0,1,1,0
rcoons,0,0,0,1,0,0,0,1,0,1,1
wbcrowde,0,0,0,0,0,0,0,0,1,1,0
kmcumber,0,0,0,1,0,0,0,0,0,0,1
ncdavis5,62,0,0,1,0,0,0,1,0,1,1
gpdean,0,0,0,1,0,0,0,0,0,0,1
jjdeuche,0,0,0,0,0,0,0,0,0,0,0
jmpatte8,0,0,0,1,0,0,0,0,0,0,1
xdu24,,,,,,,,,,0,0
taelpers,0,0,0,1,0,0,0,0,0,0,1
ememerso,0,0,0,0,0,0,0,0,0,0,0
hmestes,0,0,0,0,0,0,0,0,1,1,0
idetuk,0,0,0,0,0,0,0,0,1,1,0
ahflanag,0,0,0,1,0,0,0,1,0,1,1
hafoard,0,0,0,1,0,0,0,0,0,0,1
nsfoster,0,0,0,1,0,0,0,0,0,0,1
pcglas,0,0,0,0,0,0,0,2,1,3,0
kgolla,0,0,0,0,0,0,0,0,0,0,0
hgupta5,0,3,0,1,0,0,0,0,0,0,4
yfhamm,0,0,0,0,0,0,0,0,0,0,0
lghardin,0,0,0,0,0,0,0,2,3,5,0
cchetes,0,0,0,1,0,0,0,6,6,12,1
sahinto2,0,0,0,0,0,0,0,1,0,1,0
jdhixson,0,0,0,1,0,0,0,0,0,0,1
mchon,0,0,0,1,0,0,0,1,0,1,1
yhu13,0,0,0,0,0,0,0,0,0,0,0
xhuang24,49,0,0,1,0,0,0,0,0,0,1
svjacobs,0,3,0,0,0,0,0,0,0,0,3
djjagt,0,0,0,0,0,0,0,0,0,0,0
kkang24,0,0,0,0,0,0,0,0,0,0,0
tdkelleh,0,2,0,0,0,0,0,0,0,0,2
epkite,0,0,0,0,0,0,0,1,0,1,0
gfkoeb,0,2,0,0,0,0,0,0,0,0,2
llkoger,0,1,0,0,0,1,0,0,0,1,1
mnkokcu,0,0,0,0,0,1,0,0,3,4,0
hakon,,,,,,,,,,0,0
jlakhan,0,0,0,1,0,0,0,1,0,1,1
jdlangho,0,0,0,0,0,0,0,0,0,0,0
aplannin,0,2,0,0,0,0,0,0,0,0,2
mclin,0,0,0,0,0,0,0,1,0,1,0
zlin24,0,0,0,0,0,0,0,1,0,1,0
vdliu,22,0,0,1,0,0,0,0,0,0,1
kjlu2,0,0,0,0,0,0,0,1,1,2,0
ddmai,0,0,0,0,0,0,0,0,0,0,0
amalik4,0,0,0,0,0,0,0,0,0,0,0
zmmalik,0,0,0,0,0,0,0,0,0,0,0
jtmast,0,0,0,0,0,0,0,0,0,0,0
jamavrid,0,0,0,0,0,0,0,0,1,1,0
acmay,0,4,0,1,0,0,0,0,0,0,5
wdmccart,0,0,0,1,0,0,0,1,0,1,1
samink,0,0,0,0,0,0,0,0,0,0,0
rfnajm,0,3,0,1,0,0,0,0,0,0,4
srnixon,0,0,0,1,0,0,0,1,0,1,1
jrnolan2,0,2,0,0,0,0,0,0,0,0,2
tjnolan3,0,5,0,0,0,0,0,0,1,1,5
hsoconne,0,0,0,0,0,0,0,0,1,1,0
mowens4,0,0,0,0,0,0,0,0,0,0,0
pgpajers,0,0,0,1,0,0,0,0,0,0,1
ijpatel,0,0,0,0,0,0,0,0,0,0,0
rapate23,0,0,0,0,0,0,0,0,0,0,0
mdpearso,0,0,0,0,0,0,0,1,0,1,0
gperezb,0,0,0,0,0,0,0,0,5,5,0
mpetrar,0,7,0,0,0,0,0,0,0,0,7
wdpressl,0,0,0,0,0,0,0,0,0,0,0
hwpruitt,0,0,0,0,0,0,0,0,0,0,0
lmqueen,119,0,0,0,0,0,0,0,0,0,0
nramesh3,0,0,0,1,0,0,0,1,5,6,1
acrulian,0,2,0,1,0,0,0,0,0,0,3
hdschnei,0,2,0,0,0,0,0,0,0,0,2
yfshakht,0,0,0,0,0,0,0,0,0,0,0
sgshea,0,0,0,1,0,0,0,0,0,0,1
brshi,0,0,0,0,0,0,0,0,1,1,0
pmshore,0,5,0,1,0,0,0,0,0,0,6
fasi,0,0,0,0,0,0,0,1,0,1,0
asingh39,0,0,0,0,0,0,0,0,0,0,0
rsingh27,0,0,0,0,0,0,0,0,0,0,0
cmsluder,0,0,0,0,0,0,0,0,0,0,0
jlsulli5,0,0,0,0,0,0,0,0,0,0,0
mmtawous,0,0,0,1,0,0,0,0,0,0,1
rntaylo3,0,0,0,1,0,0,0,0,1,1,1
wptoutai,0,8,0,0,0,0,0,2,0,2,8
gjtravis,0,0,0,1,0,0,0,0,0,0,1
wctwigg,0,0,0,0,0,0,0,0,5,5,0
muricch,0,0,0,0,0,0,0,0,0,0,0
lsuy,0,0,0,0,0,0,0,0,1,1,0
hawhite2,0,0,0,0,0,0,0,1,0,1,0
lnyang2,0,2,0,1,0,0,0,0,0,0,3
