name,indent_err,comment_curlybracket_err,comment_linebreaker_err,comment_magicnumber_err,comment_head_err,comment_macro_err,comment_func_err,comment_tag_param_err,comment_tag_return_err
bcajax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
febautis,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
nzbennet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grbish,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hwblake,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
smbondre,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
ztboulto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zbridge,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
jbuhr,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dwburg,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
dcbusse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
xce,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
amchan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
akclark4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jrcoblei,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
clcoffel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cfcole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rcoons,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
wbcrowde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kmcumber,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ncdavis5,62.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
gpdean,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jjdeuche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jmpatte8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
xdu24,,,,,,,,,
taelpers,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ememerso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hmestes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
idetuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ahflanag,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
hafoard,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
nsfoster,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pcglas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
kgolla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hgupta5,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
yfhamm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lghardin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
cchetes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0
sahinto2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
jdhixson,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mchon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
yhu13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xhuang24,49.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
svjacobs,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
djjagt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kkang24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tdkelleh,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epkite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gfkoeb,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llkoger,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mnkokcu,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
hakon,,,,,,,,,
jlakhan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
jdlangho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aplannin,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mclin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
zlin24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
vdliu,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
kjlu2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ddmai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amalik4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zmmalik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jtmast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jamavrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
acmay,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wdmccart,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
samink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rfnajm,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
srnixon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
jrnolan2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tjnolan3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hsoconne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mowens4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pgpajers,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ijpatel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rapate23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mdpearso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gperezb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
mpetrar,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wdpressl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hwpruitt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lmqueen,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nramesh3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0
acrulian,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hdschnei,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yfshakht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sgshea,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
brshi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pmshore,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fasi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
asingh39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsingh27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cmsluder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jlsulli5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mmtawous,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
rntaylo3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
wptoutai,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
gjtravis,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
wctwigg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
muricch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lsuy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hawhite2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
lnyang2,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
bayngve,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
